"filename", "language", "HTML", "JavaScript", "JSON", "Vue", "Python", "comment", "blank", "total"
"c:\Users\lobs\Desktop\test\AlanStore\Ecommerce_Api\Api\migrations\0026_subcategory_maxpricebtc_subcategory_minpricebtc_and_more.py", "Python", 0, 0, 0, 0, 30, 1, 6, 37
"c:\Users\lobs\Desktop\test\AlanStore\Ecommerce_Api\Api\migrations\0027_product_description_product_image_product_and_more.py", "Python", 0, 0, 0, 0, 28, 1, 6, 35
"c:\Users\lobs\Desktop\test\AlanStore\Ecommerce_Api\Api\migrations\0028_product_subcategory_and_more.py", "Python", 0, 0, 0, 0, 24, 1, 6, 31
"c:\Users\lobs\Desktop\test\AlanStore\Ecommerce_Api\Api\migrations\0029_product_aditional_details_product_brand_and_more.py", "Python", 0, 0, 0, 0, 28, 1, 6, 35
"c:\Users\lobs\Desktop\test\AlanStore\Ecommerce_Api\Api\migrations\0030_product_variants_alter_invitationcodes_expire_date_and_more.py", "Python", 0, 0, 0, 0, 23, 1, 6, 30
"c:\Users\lobs\Desktop\test\AlanStore\Ecommerce_Api\Api\migrations\0031_product_quantity_alter_invitationcodes_expire_date_and_more.py", "Python", 0, 0, 0, 0, 23, 1, 6, 30
"c:\Users\lobs\Desktop\test\AlanStore\Ecommerce_Api\Api\models.py", "Python", 0, 0, 0, 0, 9, 0, 0, 9
"c:\Users\lobs\Desktop\test\AlanStore\Ecommerce_Api\Api\serializers.py", "Python", 0, 0, 0, 0, 19, 0, -1, 18
"c:\Users\lobs\Desktop\test\AlanStore\Ecommerce_Api\Api\urls.py", "Python", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\lobs\Desktop\test\AlanStore\Ecommerce_Api\Api\views.py", "Python", 0, 0, 0, 0, 28, 0, 5, 33
"c:\Users\lobs\Desktop\test\AlanStore\index.html", "HTML", 2, 0, 0, 0, 0, 0, 3, 5
"c:\Users\lobs\Desktop\test\AlanStore\package-lock.json", "JSON", 0, 0, 555, 0, 0, 0, 0, 555
"c:\Users\lobs\Desktop\test\AlanStore\package.json", "JSON", 0, 0, 12, 0, 0, 0, 0, 12
"c:\Users\lobs\Desktop\test\AlanStore\src\components\SingleDigitalProduct.vue", "Vue", 0, 0, 0, 953, 0, 0, 279, 1232
"c:\Users\lobs\Desktop\test\AlanStore\src\components\SingleProduct.vue", "Vue", 0, 0, 0, 5, 0, 0, -2, 3
"c:\Users\lobs\Desktop\test\AlanStore\src\components\admintoolscomponentes\DigitalCategoriesCreator.vue", "Vue", 0, 0, 0, 22, 0, 0, 15, 37
"c:\Users\lobs\Desktop\test\AlanStore\src\components\admintoolscomponentes\deposit_view.vue", "Vue", 0, 0, 0, 192, 0, 0, 28, 220
"c:\Users\lobs\Desktop\test\AlanStore\src\components\admintoolscomponentes\usermanages.vue", "Vue", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\lobs\Desktop\test\AlanStore\src\components\admintoolscomponentes\wallet.vue", "Vue", 0, 0, 0, 21, 0, 0, -5, 16
"c:\Users\lobs\Desktop\test\AlanStore\src\components\creators\AddProduct.vue", "Vue", 0, 0, 0, 53, 0, 0, 8, 61
"c:\Users\lobs\Desktop\test\AlanStore\src\components\headerNav.vue", "Vue", 0, 0, 0, 119, 0, 5, 13, 137
"c:\Users\lobs\Desktop\test\AlanStore\src\components\homeview.vue", "Vue", 0, 0, 0, -2, 0, 0, 0, -2
"c:\Users\lobs\Desktop\test\AlanStore\src\components\payments\inventory.vue", "Vue", 0, 0, 0, 22, 0, 0, 1, 23
"c:\Users\lobs\Desktop\test\AlanStore\src\components\payments\rechar.vue", "Vue", 0, 0, 0, -5, 0, 0, 0, -5
"c:\Users\lobs\Desktop\test\AlanStore\src\components\usersdashboard\buy_categories.vue", "Vue", 0, 0, 0, 293, 0, 0, 33, 326
"c:\Users\lobs\Desktop\test\AlanStore\src\components\usersdashboard\orders.vue", "Vue", 0, 0, 0, 23, 0, 0, 4, 27
"c:\Users\lobs\Desktop\test\AlanStore\src\components\usersdashboard\sell_orders.vue", "Vue", 0, 0, 0, 83, 0, 0, 3, 86
"c:\Users\lobs\Desktop\test\AlanStore\src\components\usersdashboard\user_checker.vue", "Vue", 0, 0, 0, 216, 0, 0, 16, 232
"c:\Users\lobs\Desktop\test\AlanStore\src\components\usersdashboard\user_shop.vue", "Vue", 0, 0, 0, 221, 0, 5, 11, 237
"c:\Users\lobs\Desktop\test\AlanStore\src\components\usersdashboard\users_profile_component.vue", "Vue", 0, 0, 0, 16, 0, 0, 0, 16
"c:\Users\lobs\Desktop\test\AlanStore\src\main.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\lobs\Desktop\test\AlanStore\src\mdi.js", "JavaScript", 0, 11, 0, 0, 0, 0, 3, 14
"c:\Users\lobs\Desktop\test\AlanStore\src\pages\Dashboard\profile.vue", "Vue", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\lobs\Desktop\test\AlanStore\src\pages\Dashboard\wallet_cripto\deposit_coins.vue", "Vue", 0, 0, 0, 16, 0, 0, 7, 23
"c:\Users\lobs\Desktop\test\AlanStore\src\pages\Login\signup.vue", "Vue", 0, 0, 0, 128, 0, 0, 12, 140
"c:\Users\lobs\Desktop\test\AlanStore\src\pages\Store\homePageEcommerce.vue", "Vue", 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\lobs\Desktop\test\AlanStore\src\router\index.js", "JavaScript", 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\lobs\Desktop\test\AlanStore\utils\auth.js", "JavaScript", 0, -1, 0, 0, 0, 0, 0, -1
"c:\Users\lobs\Desktop\test\AlanStore\vue.config.js", "JavaScript", 0, 11, 0, 0, 0, 0, 2, 13
"Total", "-", 2, 28, 567, 2382, 213, 16, 474, 3682